Date,Open,Price,High,Low,Vol(M),Change%,
Sep 22 / 2021,15176.51,15073.95,15230.34,15029.90,171.16,0.99,
Sep 23 / 2021,15316.58,15231.19,15356.92,15199.43,144.60,0.92,
Sep 24 / 2021,15329.68,15222.97,15345.54,15209.16,129.34,0.09,
Sep 27 / 2021,15204.83,15205.23,15240.58,15106.45,154.50,-0.81,
Sep 28 / 2021,14770.30,15001.98,15040.57,14758.98,241.47,-2.86,
Sep 29 / 2021,14752.89,14835.51,14914.92,14727.41,182.14,-0.12,
Sep 30 / 2021,14689.62,14830.30,14888.22,14684.55,203.20,-0.43,
Oct 01 / 2021,14791.87,14731.38,14830.84,14555.12,192.23,0.70,
Oct 04 / 2021,14472.12,14713.60,14727.60,14384.93,223.38,-2.16,
Oct 05 / 2021,14674.15,14533.43,14763.64,14520.23,177.49,1.40,
Oct 06 / 2021,14766.75,14529.89,14775.64,14499.48,174.39,0.63,
Oct 07 / 2021,14897.13,14899.07,15010.32,14878.22,168.65,0.88,
Oct 08 / 2021,14820.75,14942.35,14948.35,14805.50,142.85,-0.51,
Oct 11 / 2021,14713.73,14765.69,14907.57,14709.05,131.29,-0.72,
Oct 12 / 2021,14662.11,14772.29,14784.78,14636.33,175.53,-0.35,
Oct 13 / 2021,14774.60,14751.80,14800.83,14676.58,162.40,0.77,
Oct 14 / 2021,15052.42,14925.58,15059.89,14901.59,171.55,1.88,
Oct 15 / 2021,15146.92,15106.97,15150.14,15064.59,201.85,0.63,
Oct 18 / 2021,15300.89,15091.58,15307.51,15074.71,157.54,1.02,
Oct 19 / 2021,15410.72,15349.45,15414.97,15320.62,140.10,0.72,
Oct 20 / 2021,15388.71,15448.00,15457.11,15333.43,139.67,-0.14,
Oct 21 / 2021,15489.59,15365.81,15497.58,15350.50,155.34,0.66,
Oct 22 / 2021,15355.07,15422.07,15474.28,15291.95,174.01,-0.87,
Oct 25 / 2021,15514.19,15417.25,15555.65,15338.49,172.55,1.04,
Oct 26 / 2021,15559.49,15615.36,15710.79,15518.59,196.06,0.29,
Oct 27 / 2021,15598.39,15603.16,15729.75,15578.68,197.76,0.25,
Oct 28 / 2021,15778.16,15674.39,15784.00,15650.01,186.65,1.15,
Oct 29 / 2021,15850.47,15638.74,15856.90,15638.74,210.86,0.46,
Nov 01 / 2021,15905.28,15879.61,15910.35,15785.31,177.72,0.35,
Nov 02 / 2021,15972.49,15885.34,15988.33,15877.27,175.57,0.42,
Nov 03 / 2021,16144.50,16000.60,16157.60,15950.59,177.49,1.08,
Nov 04 / 2021,16346.24,16193.22,16387.95,16169.56,226.44,1.25,
Nov 05 / 2021,16359.38,16397.59,16454.48,16302.06,223.01,0.08,
Nov 08 / 2021,16336.03,16351.49,16401.93,16314.00,194.10,-0.14,
Nov 09 / 2021,16219.93,16389.99,16401.89,16168.63,202.59,-0.71,
Nov 10 / 2021,15985.57,16087.01,16224.51,15905.28,192.32,-1.44,
Nov 11 / 2021,16032.47,16114.05,16116.25,16019.39,144.38,0.29,
Nov 12 / 2021,16199.89,16078.13,16218.55,16012.78,154.83,1.04,
Nov 15 / 2021,16189.11,16227.01,16256.73,16096.37,164.95,-0.07,
Nov 16 / 2021,16309.77,16170.29,16329.50,16156.69,181.24,0.75,
Nov 17 / 2021,16308.07,16329.07,16398.95,16276.77,184.41,-0.01,
Nov 18 / 2021,16482.97,16398.76,16501.92,16309.51,225.12,1.07,
Nov 19 / 2021,16573.34,16558.56,16625.86,16523.83,230.31,0.55,
Nov 22 / 2021,16380.98,16644.77,16764.85,16374.78,240.38,-1.16,
Nov 23 / 2021,16306.72,16330.18,16417.50,16121.69,213.56,-0.45,
Nov 24 / 2021,16367.81,16202.26,16370.56,16106.02,173.02,0.37,
Nov 26 / 2021,16025.58,16237.42,16302.58,15988.95,188.04,-2.09,
Nov 29 / 2021,16399.24,16263.43,16437.16,16214.56,222.80,2.33,
Nov 30 / 2021,16135.92,16333.95,16454.56,16073.76,412.49,-1.61,
Dec 01 / 2021,15877.72,16347.96,16427.19,15864.00,253.55,-1.60,
Dec 02 / 2021,15990.76,15791.30,16066.32,15770.92,252.10,0.71,
Dec 03 / 2021,15712.04,16039.41,16089.61,15543.31,287.69,-1.74,
Dec 06 / 2021,15846.16,15744.91,15898.59,15557.78,244.53,0.85,
Dec 07 / 2021,16325.66,16139.56,16343.67,16128.44,261.97,3.03,
Dec 08 / 2021,16394.34,16313.88,16401.10,16250.39,208.05,0.42,
Dec 09 / 2021,16149.57,16337.81,16413.28,16141.39,189.74,-1.49,
Dec 10 / 2021,16331.98,16278.30,16339.12,16139.00,206.17,1.13,
Dec 13 / 2021,16082.55,16317.90,16332.63,16075.54,224.94,-1.53,
Dec 14 / 2021,15914.90,15877.65,15995.21,15742.80,238.21,-1.04,
Dec 15 / 2021,16289.59,15908.45,16301.27,15746.94,249.17,2.35,
Dec 16 / 2021,15863.94,16335.03,16340.53,15802.64,267.11,-2.61,
Dec 17 / 2021,15801.46,15714.54,15960.25,15664.10,606.09,-0.39,
Dec 20 / 2021,15627.64,15566.83,15662.61,15508.74,212.52,-1.10,
Dec 21 / 2021,15986.28,15794.38,15997.61,15617.48,210.02,2.29,
Dec 22 / 2021,16180.14,15963.54,16186.25,15947.56,166.35,1.21,
Dec 23 / 2021,16308.21,16203.76,16360.75,16188.02,164.32,0.79,
Dec 27 / 2021,16567.50,16361.07,16567.64,16361.07,154.76,1.59,
